Tamanho;Tempos;Pacotes;;;
100;0.0018153190612792;9;;;
100;0.0011541843414306;9;;;
100;0.0017001628875732;9;;;
100;0.0009424686431884;9;;;
100;0.0011458396911621;9;;;
100;0.0014092922210693;9;;;
100;0.0010039806365966;9;;;
100;0.0016193389892578;9;;;
100;0.0009882450103759;9;;;
100;0.0015809535980224;9;;;
500;0.0007350444793701;1;;;
500;0.0008282661437988;1;;;
500;0.0006160736083984;1;;;
500;0.0009932518005371;1;;;
500;0.0007131099700927;1;;;
500;0.0007259845733642;1;;;
500;0.0009322166442871;1;;;
500;0.0004878044128417;1;;;
500;0.001115083694458;1;;;
500;0.0003530979156494;1;;;
1000;0.0009617805480957031;1;;;
1000;0.00066375732421875;1;;;
1000;0.0008368492126464844;1;;;
1000;0.0011019706726074219;1;;;
1000;0.0004937648773193359;1;;;
1000;0.0008072853088378906;1;;;
1000;0.0004558563232421875;1;;;
1000;0.0007958412170410156;1;;;
1000;0.0012137889862060547;1;;;
1000;0.0007197856903076172;1;;;
Média;0.0010968528427124;3,666666667;;;
Desvio Padrão;0.0003602367678;3,835706412;;;
